Plate	Repeat	Well	Type	Time	Absorbance @ 600 (A)	Time	GFP (Counts)	Time	mCherry (Counts)
1	4	A04	M	01:34:26.07	0.056	01:35:19.59	410	01:36:16.78	6834
1	4	A05	M	01:34:26.39	0.049	01:35:19.95	478	01:36:17.14	7492
1	4	A06	M	01:34:26.71	0.047	01:35:20.31	456	01:36:17.50	7584
1	4	A07	M	01:34:27.03	0.047	01:35:20.67	534	01:36:17.86	7408
1	4	A08	M	01:34:27.35	0.050	01:35:21.03	620	01:36:18.23	7042
1	4	A09	M	01:34:27.67	0.047	01:35:21.39	470	01:36:18.59	7154
1	4	A10	M	01:34:27.99	0.051	01:35:21.75	434	01:36:18.95	6994
1	4	A11	M	01:34:28.31	0.047	01:35:22.11	462	01:36:19.31	7883
1	4	A12	M	01:34:28.63	0.047	01:35:22.47	454	01:36:19.67	7358
1	4	B01	M	01:34:31.39	0.053	01:35:25.28	384	01:36:22.48	7108
1	4	B02	M	01:34:31.71	0.047	01:35:25.64	430	01:36:22.84	7340
1	4	B03	M	01:34:32.03	0.048	01:35:26.00	412	01:36:23.20	7322
1	4	B04	M	01:34:32.35	0.053	01:35:26.36	388	01:36:23.56	6970
1	4	B05	M	01:34:32.67	0.050	01:35:26.72	506	01:36:23.92	7240
1	4	B06	M	01:34:32.99	0.050	01:35:27.08	446	01:36:24.28	6980
1	4	B07	M	01:34:33.31	0.051	01:35:27.44	454	01:36:24.64	7124
1	4	B08	M	01:34:33.63	0.047	01:35:27.80	462	01:36:25.00	6774
1	4	B09	M	01:34:33.95	0.047	01:35:28.16	474	01:36:25.36	7486
1	4	B10	M	01:34:34.27	0.052	01:35:28.52	434	01:36:25.72	6810
1	4	B11	M	01:34:34.59	0.047	01:35:28.89	476	01:36:26.09	7034
1	4	B12	M	01:34:34.91	0.048	01:35:29.25	452	01:36:26.45	6964
1	4	C01	M	01:34:37.67	0.054	01:35:32.05	496	01:36:29.25	6758
1	4	C02	M	01:34:37.99	0.048	01:35:32.41	466	01:36:29.61	7570
1	4	C03	M	01:34:38.31	0.051	01:35:32.77	490	01:36:29.97	7238
1	4	C04	M	01:34:38.63	0.055	01:35:33.13	448	01:36:30.33	7002
1	4	C05	M	01:34:38.95	0.051	01:35:33.49	460	01:36:30.69	7340
1	4	C06	M	01:34:39.27	0.050	01:35:33.85	470	01:36:31.05	7192
1	4	C07	M	01:34:39.59	0.045	01:35:34.21	422	01:36:31.41	6902
1	4	C08	M	01:34:39.91	0.040	01:35:34.57	482	01:36:31.77	7999
1	4	C09	M	01:34:40.23	0.041	01:35:34.93	468	01:36:32.13	7472
1	4	C10	M	01:34:40.55	0.042	01:35:35.29	522	01:36:32.49	7975
1	4	C11	M	01:34:40.87	0.038	01:35:35.65	458	01:36:32.86	8421
1	4	C12	M	01:34:41.19	0.038	01:35:36.02	456	01:36:33.22	8457
1	4	D01	M	01:34:43.95	0.037	01:35:38.82	410	01:36:36.02	7746
1	4	D02	M	01:34:44.27	0.035	01:35:39.18	416	01:36:36.38	8245
1	4	D03	M	01:34:44.59	0.036	01:35:39.54	448	01:36:36.74	8081
1	4	D04	M	01:34:44.91	0.041	01:35:39.90	422	01:36:37.10	7789
1	4	D05	M	01:34:45.23	0.036	01:35:40.26	406	01:36:37.46	7949
1	4	D06	M	01:34:45.55	0.036	01:35:40.62	442	01:36:37.82	8377
1	4	D07	M	01:34:45.87	0.037	01:35:40.98	524	01:36:38.18	8387
1	4	D08	M	01:34:46.19	0.035	01:35:41.34	548	01:36:38.54	8539
1	4	D09	M	01:34:46.51	0.035	01:35:41.70	518	01:36:38.91	9004
1	4	D10	M	01:34:46.83	0.038	01:35:42.06	592	01:36:39.27	7897
1	4	D11	M	01:34:47.15	0.037	01:35:42.42	694	01:36:39.63	8221
1	4	D12	M	01:34:47.47	0.036	01:35:42.79	580	01:36:39.99	8647
1	4	E01	M	01:34:50.23	0.039	01:35:45.59	416	01:36:42.80	7863
1	4	E02	M	01:34:50.55	0.038	01:35:45.95	502	01:36:43.16	8499
1	4	E03	M	01:34:50.87	0.043	01:35:46.31	428	01:36:43.52	8005
1	4	E04	M	01:34:51.19	0.043	01:35:46.67	452	01:36:43.88	7470
1	4	E05	M	01:34:51.51	0.036	01:35:47.03	464	01:36:44.24	8395
1	4	E06	M	01:34:51.83	0.035	01:35:47.39	410	01:36:44.60	8049
1	4	E07	M	01:34:52.15	0.037	01:35:47.75	534	01:36:44.96	7634
1	4	E08	M	01:34:52.47	0.035	01:35:48.11	456	01:36:45.32	8461
1	4	E09	M	01:34:52.79	0.036	01:35:48.48	488	01:36:45.68	8475
1	4	E10	M	01:34:53.11	0.039	01:35:48.84	500	01:36:46.04	8285
1	4	E11	M	01:34:53.43	0.035	01:35:49.20	460	01:36:46.41	8477
1	4	E12	M	01:34:53.75	0.038	01:35:49.56	596	01:36:46.77	8003
1	4	F01	M	01:34:56.51	0.040	01:35:52.37	426	01:36:49.57	8147
1	4	F02	M	01:34:56.83	0.038	01:35:52.73	460	01:36:49.93	7262
1	4	F03	M	01:34:57.15	0.037	01:35:53.09	456	01:36:50.29	7817
1	4	F04	M	01:34:57.47	0.045	01:35:53.45	736	01:36:50.65	7234
1	4	F05	M	01:34:57.79	0.035	01:35:53.81	394	01:36:51.01	7983
